x,xerr,y,yerr
1.25868,0.01762152,11.34380838,1.043229284
1.426504,0.019971056,3.553395524,0.243630056
1.594328,0.022320592,1.192880996,0.079598187
1.67824,0.02349536,0.779136005,0.050487338
1.929976,0.027019664,0.330204743,0.024297213
2.349536,0.032893504,0.247654066,0.015129804
