x,y,yerr-,yerr+
3.248,0.660650835,0.024293446,0.023733677
97.44,0.153219693,0.026120345,0.02609265
32.48,0.323269523,0.033110212,0.033012864
9.744,0.540001465,0.033291572,0.033020711
22.736,0.504154309,0.02820678,0.027927881
48.72,0.280803103,0.038351686,0.038288314
