x,y
1.25,156.7839982
1.3,139.3804035
1.35,124.4601926
1.4,111.5957531
1.45,100.4448715
1.5,90.73148043
1.55,82.23120982
1.6,74.76043615
1.65,68.16790416
1.7,62.32826103
1.75,57.13702558
1.8,52.50664377
1.85,48.36337377
1.9,44.64480922
1.95,41.29789733
2,38.27734331
2.05,35.54431845
2.1,33.06540832
2.15,30.81175207
2.2,28.75833457
2.25,26.88340161
2.3,25.16797456
2.35,23.59544582
2.4,22.15124034
