"x","y","yerr-","yerr+"
"Pupup",0.2733097760696946,0.009846991726336851,0.010053799019685868
"Pupdown",0.05481640328455649,0.006845440948183583,0.006952128972323503
"Pdownup",0.05481640328455649,0.006845440948183583,0.006952128972323503
"Pdowndown",0.25175107311093575,0.009299284843733885,0.00951103875142135
"Pupe",0.025200166059305862,0.007911156773290837,0.007900867938576374
"Peup",0.025200166059305862,0.007911156773290837,0.007900867938576374
"Pdowne",0.13678281004966383,0.007924169520698162,0.007887816750004264
"Pedown",0.13678281004966383,0.007924169520698162,0.007887816750004264
"Pee",0.041340392032317326,0.004386267364957726,0.004352827856895428
