x,y,yerr
0.05,0.792800372,0.028830213
0.5,0.710192761,0.022462945
1,0.572985909,0.066745669
1.5,0.516771229,0.047896266
2,0.431181338,0.041187711
2.5,0.275317927,0.049589995
3,0.186620854,0.038068406
