x,y,yerr,,,,
0.0111335,0.999999738,1.33E-08,,,,
0.556677,0.999395625,2.66475E-05,,,,
1.11335,0.99825083,6.4146E-05,,,,
1.67003,0.996660864,9.69927E-05,,,,
2.22671,0.995079152,0.000106565,,,, 
2.78338,0.993698847,0.000171315,,,, 
3.34006,0.991454838,0.000335656,,,, 
3.89674,0.989695116,0.000374008,,,,
4.45342,0.987789479,0.000406673,,,,
5.01009,0.985582655,0.000582123,,,, 
5.56677,0.981458687,0.000887257,,,, 
6.12345,0.979265907,0.000984548,,,, 
6.68012,0.974224426,0.001270391,,,, 
7.2368,0.96957259,0.001288845,,,,
7.79348,0.968058323,0.001283751,,,,
8.35015,0.960452361,0.001609289,,,,
8.90683,0.958041865,0.001410309,,,,
9.46351,0.955934238,0.001667611,,,, 
10.0202,0.948822753,0.001993147,,,,
10.5769,0.940628895,0.002225252,,,,
11.1335,0.933806182,0.002522446,,,,
11.6902,0.933065724,0.002330858,,,,
12.2469,0.926543002,0.00265298,,,,
12.8036,0.921843722,0.00266908,,,, 
13.3602,0.920276747,0.002573,,,, 
13.9169,0.912079084,0.002668934,,,, 
14.4736,0.910177214,0.002838904,,,,
15.0303,0.900220689,0.002813348,,,,
15.587,0.893590426,0.00292777,,,, 
16.1436,0.890468609,0.003210029,,,,
16.7003,0.88664611,0.003197897,,,,
17.257,0.884337458,0.002784135,,,,
17.8137,0.878904232,0.003330036,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,, 
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
