"x","y","yerr-","yerr+"
"Pupup^(a)",0.4248638038898611,0.023591931776887558,0.023986995406356924
"Pupdown^(a)",0.08144777534718789,0.011735670427521711,0.013015262463152296
"Pdownup^(a)",0.05889473594685746,0.010029212772901688,0.011376131940889529
"Pdowndown^(a)",0.4347936848160936,0.03781656577680276,0.03887100097228256
