x,y,yerr-,yerr+
3.248,0.765937388,0.024591206,0.023884382
97.44,0.406835259,0.019478131,0.019314715
32.48,0.498168123,0.023291427,0.023062986
9.744,0.657799379,0.026401406,0.026018257
22.736,0.686317711,0.02543393,0.02494661
48.72,0.491321633,0.0254846,0.025298233
