x,xerr,y,yerr,
1.258686428,0.000351362,0.077673743,0.007388345, 
1.426511285,0.00039821,0.056937423,0.006627255,
1.594336142,0.000445059,0.052398494,0.00496134,
1.67824857,0.000468483,0.035734321,0.003446465,
1.929985856,0.000538755,0.020677544,0.00202832,
2.349547999,0.000655876,0.018752629,0.002206047,
