"x","y","yerr-","yerr+"
"Pupup",0.32608525885612594,0.014649429653005886,0.014988346941127167
"Pupdown",0.04893632977045971,0.00837595233915883,0.008574585468383012
"Pdownup",0.04893632977045971,0.00837595233915883,0.008574585468383012
"Pdowndown",0.3366369352702542,0.012267336851748899,0.012478919246796382
"Pupe",0.018334911141409338,0.01020412478399798,0.010166299771389303
"Peup",0.018334911141409338,0.01020412478399798,0.010166299771389303
"Pdowne",0.0931911291430984,0.010206836945474335,0.010163576792529888
"Pedown",0.0931911291430984,0.010206836945474335,0.010163576792529888
"Pee",0.0163530657636849,0.0036410688914106292,0.0036091786635910773
